region,Usual,Country,Interconnection,CountryInterconnect,Summary
SIDNEY-ACDC_EI,SPP,USA,EI,USA-EI,All
SPA+_EI,SPP,USA,EI,USA-EI,All
SPS_EI,SPP,USA,EI,USA-EI,All
STEGAL-ACDC_EI,SPP,USA,EI,USA-EI,All
WAPA_DK_EI,SPP,USA,EI,USA-EI,All
WFEC_EI,SPP,USA,EI,USA-EI,All
WR_EI,SPP,USA,EI,USA-EI,All
AECIZ_EI,SERC,USA,EI,USA-EI,All
LGEE_EI,SERC,USA,EI,USA-EI,All
TVAZ_EI,SERC,USA,EI,USA-EI,All
BANC_WI,California,USA,WI,USA-WI,All
TIDC_WI,California,USA,WI,USA-WI,All
IPFE_WI,RockiesUS,USA,WI,USA-WI,All
IPMV_WI,RockiesUS,USA,WI,USA-WI,All
IPTV_WI,RockiesUS,USA,WI,USA-WI,All
PAID_WI,RockiesUS,USA,WI,USA-WI,All
PAUT_WI,RockiesUS,USA,WI,USA-WI,All
PAWY_WI,RockiesUS,USA,WI,USA-WI,All
AESO_WI,AB,Canada,WI,Canada-WI,All
BCHA_WI,BC,Canada,WI,Canada-WI,All
CIPB_WI,California,USA,WI,USA-WI,All
CIPV_WI,California,USA,WI,USA-WI,All
CISC_WI,California,USA,WI,USA-WI,All
CISD_WI,California,USA,WI,USA-WI,All
VEA_WI,California,USA,WI,USA-WI,All
IID_WI,California,USA,WI,USA-WI,All
LDWP_WI,California,USA,WI,USA-WI,All
BPAT_WI,NorthwestUS,USA,WI,USA-WI,All
CHPD_WI,NorthwestUS,USA,WI,USA-WI,All
DOPD_WI,NorthwestUS,USA,WI,USA-WI,All
GCPD_WI,NorthwestUS,USA,WI,USA-WI,All
SCL_WI,NorthwestUS,USA,WI,USA-WI,All
TPWR_WI,NorthwestUS,USA,WI,USA-WI,All
AVA_WI,NorthwestUS,USA,WI,USA-WI,All
NWMT_WI,NorthwestUS,USA,WI,USA-WI,All
PACW_WI,NorthwestUS,USA,WI,USA-WI,All
PGE_WI,NorthwestUS,USA,WI,USA-WI,All
PSEI_WI,NorthwestUS,USA,WI,USA-WI,All
WAUW_WI,NorthwestUS,USA,WI,USA-WI,All
PSCO_WI,RockiesUS,USA,WI,USA-WI,All
WACM_WI,RockiesUS,USA,WI,USA-WI,All
NEVP_WI,Southwest,USA,WI,USA-WI,All
SPPC_WI,Southwest,USA,WI,USA-WI,All
AZPS_WI,Southwest,USA,WI,USA-WI,All
EPE_WI,Southwest,USA,WI,USA-WI,All
PNM_WI,Southwest,USA,WI,USA-WI,All
SRP_WI,Southwest,USA,WI,USA-WI,All
TEPC_WI,Southwest,USA,WI,USA-WI,All
WALC_WI,Southwest,USA,WI,USA-WI,All
TH_Malin_WI,NorthwestUS,USA,WI,USA-WI,All
TH_Mead_WI,Southwest,USA,WI,USA-WI,All
TH_PV_WI,Southwest,USA,WI,USA-WI,All
Houston_ERC,ERCOT,USA,Texas,USA-Texas,All
Non-Ercot_ERC,ERCOT,USA,Texas,USA-Texas,All
North_ERC,ERCOT,USA,Texas,USA-Texas,All
Panhandle_ERC,ERCOT,USA,Texas,USA-Texas,All
South_ERC,ERCOT,USA,Texas,USA-Texas,All
West_ERC,ERCOT,USA,Texas,USA-Texas,All
