region,zone,superzone,Midwest_Agg,category,Usual,Usual_and_RTOZone,Country,Interconnection,CountryInterconnect,Summary
SPA+_EI,,SPP,SPA+_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
SPS_EI,,SPP,SPS_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
STEGAL-ACDC_EI,,SPP,STEGAL-ACDC_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
WAPA_DK_EI,,SPP,WAPA_DK_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
WFEC_EI,,SPP,WFEC_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
WR_EI,,SPP,WR_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
AECIZ_EI,,TVA,AECIZ_EI,TVA,SERC,SERC,USA,EI,USA-EI,All
LGEE_EI,,TVA,LGEE_EI,TVA,SERC,SERC,USA,EI,USA-EI,All
TVAZ_EI,,TVA,TVAZ_EI,TVA,SERC,SERC,USA,EI,USA-EI,All
AZPS_WI,,West Connect,AZPS_WI,SW_Other_WI,Southwest,Southwest,USA,WI,USA-WI,All
EPE_WI,,West Connect,EPE_WI,SW_Other_WI,Southwest,Southwest,USA,WI,USA-WI,All
NEVP_WI,,West Connect,NEVP_WI,SW_NVE_WI,Southwest,Southwest,USA,WI,USA-WI,All
PNM_WI,,West Connect,PNM_WI,SW_Other_WI,Southwest,Southwest,USA,WI,USA-WI,All
SPPC_WI,,West Connect,SPPC_WI,SW_NVE_WI,Southwest,Southwest,USA,WI,USA-WI,All
SRP_WI,,West Connect,SRP_WI,SW_Other_WI,Southwest,Southwest,USA,WI,USA-WI,All
TEPC_WI,,West Connect,TEPC_WI,SW_Other_WI,Southwest,Southwest,USA,WI,USA-WI,All
TH_Mead_WI,,West Connect,TH_Mead_WI,TH_WI,Southwest,Southwest,USA,WI,USA-WI,All
TH_PV_WI,,West Connect,TH_PV_WI,TH_WI,Southwest,Southwest,USA,WI,USA-WI,All
